username,champion,podium,points,updated_at,rank_history,paid,group_code
Verj,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""Argentina"",""topScorer"":""Messi""}",40,2026-06-20T00:00:21.904+00:00,[],true,default
Արթին,Spain,"{""first"":""Spain"",""third"":""Germany"",""second"":""Argentina"",""topScorer"":""Mbappe""}",34,2026-06-20T00:00:21.904+00:00,[],true,default
Arby G,Spain,"{""first"":""Spain"",""third"":""Argentina"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",22,2026-06-20T00:00:21.904+00:00,[],false,default
Edmond,France,"{""first"":""France"",""third"":null,""second"":null,""topScorer"":null}",0,2026-06-20T00:00:21.904+00:00,[],false,default
narek,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-06-20T00:00:22.383+00:00,[],false,EDWIN-LEAGUE
Leo Ohandjanians,Germany,"{""first"":""Germany"",""third"":""Norway"",""second"":""France"",""topScorer"":""Erling Haaland ""}",70,2026-06-20T00:00:21.904+00:00,[],true,default
Edwin N,France,"{""first"":""France"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbappe""}",58,2026-06-20T00:00:21.904+00:00,[],true,default
Art,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Germany"",""topScorer"":""Mbappe""}",56,2026-06-20T00:00:21.904+00:00,[],true,default
Vazrik,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",54,2026-06-20T00:00:21.904+00:00,[],true,default
Zareh,England,"{""first"":""England"",""third"":""Portugal"",""second"":""France"",""topScorer"":""Kylian Mbappe ""}",52,2026-06-20T00:00:21.904+00:00,[],true,default
Edwin,Brazil,"{""first"":""Brazil"",""third"":""Argentina"",""second"":""France""}",0,2026-06-20T00:00:22.383+00:00,[],false,EDWIN-LEAGUE
Sev,Argentina,"{""first"":""Argentina"",""third"":""Spain"",""second"":""France"",""topScorer"":""messi""}",54,2026-06-20T00:00:21.904+00:00,[],true,default
Narek,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",50,2026-06-20T00:00:21.904+00:00,[],false,default
Arbi Madirossians,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-20T00:00:22.383+00:00,[],false,EDWIN-LEAGUE
Armen B,Brazil,"{""first"":""Brazil"",""third"":""Germany"",""second"":""Spain"",""topScorer"":""Lamine yamal ""}",48,2026-06-20T00:00:21.904+00:00,[],true,default
Germany Fan Since 82,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",48,2026-06-20T00:00:21.904+00:00,[],true,default
Raz,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappé""}",48,2026-06-20T00:00:21.904+00:00,[],true,default
Arno Najarian,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Kylian Mbappe ""}",54,2026-06-20T00:01:54.285+00:00,[],true,default
Where'sTheLahmSauce,Netherlands,"{""first"":""Netherlands"",""third"":""England"",""second"":""Argentina"",""topScorer"":""Mbappe ""}",46,2026-06-20T00:00:21.904+00:00,[],false,default
AraTotoKing,Portugal,"{""first"":""Portugal"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbape ""}",38,2026-06-20T00:00:21.904+00:00,[],true,default
Ramin,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Mbappe""}",54,2026-06-20T00:02:19.588+00:00,[],true,default
IrishmanArtin,Argentina,"{""first"":""Argentina"",""third"":""Brazil"",""second"":""Spain"",""topScorer"":""Messi""}",50,2026-06-20T00:00:21.904+00:00,[],true,default
Joseph blank,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Lamine yamal""}",52,2026-06-20T00:00:21.904+00:00,[],true,default
Andre G,Argentina,"{""first"":""Argentina"",""third"":""Mexico"",""second"":""France"",""topScorer"":""Lionel Messi""}",50,2026-06-20T00:00:21.904+00:00,[],true,default
OliCR7,Portugal,"{""first"":""Portugal"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Mbappe""}",38,2026-06-20T00:00:21.904+00:00,[],true,default
Poor Italy😩😩,France,"{""first"":""France"",""third"":""Spain"",""second"":""Brazil"",""topScorer"":""Kylian Mbappe""}",36,2026-06-20T00:00:21.904+00:00,[],true,default
